id-mapa;anio;mes;dia;fecha;franja;tipo;subtipo;uso_armas;barrio;comuna;latitud;longitud;cantidad;condena
LC-2021-1067305;2021;Marzo;Sábado;13/3/2021;14;Robo (con violencia);;;San Telmo;1;-34,622926;-58,369304;;42
LC-2021-1067415;2021;Junio;Jueves;24/6/2021;11;Robo (con violencia);;;Recoleta;2;-34,592952;-58,397203;;19
LC-2021-1067456;2021;Enero;Viernes;1/1/2021;1;Robo (con violencia);;;Floresta;10;-34,631877;-58,483975;;28
LC-2021-1067506;2021;Enero;Jueves;7/1/2021;14;Hurto (sin violencia);;;Villa Pueyrredón;12;-34,585474;-58,49397;;40
LC-2021-1067508;2021;Mayo;Domingo;23/5/2021;17;Robo (con violencia);;;Caballito;6;-34,616356;-58,432284;;4
LC-2021-1067510;2021;Mayo;Martes;18/5/2021;7;Hurto (sin violencia);;;Palermo;14;-34,590301;-58,415034;;14
LC-2021-1067558;2021;Marzo;Martes;30/3/2021;10;Hurto (sin violencia);;;Agronomía;15;-34,58949;-58,495895;;30
LC-2021-1067662;2021;Marzo;Miércoles;31/3/2021;12;Robo (con violencia);;;Balvanera;3;-34,611177;-58,404496;;43
LC-2021-1067732;2021;Enero;Martes;19/1/2021;3;Robo (con violencia);;;Caballito;6;-34,620537;-58,444887;;26
LC-2021-1068181;2021;Mayo;Miércoles;5/5/2021;12;Robo (con violencia);;;Almagro;5;-34,603696;-58,415793;;16
LC-2021-1068274;2021;Abril;Lunes;12/4/2021;17;Lesiones;Siniestro Vial;;Parque Patricios;4;-34,634695;-58,392605;1;22
LC-2021-1068286;2021;Abril;Miércoles;7/4/2021;13;Robo (con violencia);;;Caballito;6;-34,606735;-58,43844;;4
LC-2021-1068783;2021;Marzo;Lunes;1/3/2021;12;Hurto (sin violencia);Hurto Automotor;;Almagro;5;-34,602651;-58,415474;;1
LC-2021-1068810;2021;Abril;Miércoles;21/4/2021;16;Robo (con violencia);;Arma de fuego;Almagro;5;-34,620975;-58,416514;;43
LC-2021-1068813;2021;Enero;Lunes;18/1/2021;17;Robo (con violencia);;;Flores;7;-34,625705;-58,465664;;34
LC-2021-1069027;2021;Enero;Jueves;7/1/2021;10;Hurto (sin violencia);;;Villa Lugano;8;-34,677426;-58,470907;;41
LC-2021-1069034;2021;Marzo;Miércoles;10/3/2021;3;Hurto (sin violencia);;;Flores;7;-34,650819;-58,463801;;15
LC-2021-1069060;2021;Febrero;Domingo;28/2/2021;18;Robo (con violencia);;;Puerto Madero;1;-34,611482;-58,35914;;31
LC-2021-1069260;2021;Enero;Miércoles;13/1/2021;22;Hurto (sin violencia);;;Almagro;5;-34,62109;-58,41807;;20
LC-2021-1069453;2021;Junio;Sábado;26/6/2021;19;Robo (con violencia);;;Saavedra;12;-34,547412;-58,469402;;6
LC-2021-1069621;2021;Mayo;Martes;25/5/2021;20;Hurto (sin violencia);;;Palermo;14;-34,590831;-58,423177;;29
LC-2021-1069659;2021;Enero;Lunes;18/1/2021;20;Robo (con violencia);;;Flores;7;-34,61637;-58,463919;;23
LC-2021-1069818;2021;Febrero;Lunes;1/2/2021;22;Hurto (sin violencia);;;Villa Crespo;15;-34,595366;-58,445695;;44
LC-2021-1069825;2021;Mayo;Jueves;6/5/2021;9;Hurto (sin violencia);;;Recoleta;2;-34,594425;-58,402398;;29
LC-2021-1069944;2021;Junio;Viernes;25/6/2021;18;Lesiones;Siniestro Vial;;Villa Ortuzar;15;-34,576032;-58,462377;1;42
LC-2021-1069953;2021;Mayo;Miércoles;5/5/2021;8;Robo (con violencia);;;Parque Patricios;4;-34,647973;-58,40898;;32
LC-2021-1070004;2021;Mayo;Lunes;31/5/2021;4;Robo (con violencia);;;Flores;7;-34,641625;-58,449665;;29
LC-2021-1070040;2021;Marzo;Domingo;14/3/2021;0;Robo (con violencia);;;Villa Urquiza;12;-34,569608;-58,480823;;9
LC-2021-1070204;2021;Abril;Jueves;29/4/2021;19;Robo (con violencia);;;Recoleta;2;-34,587524;-58,395388;;18
LC-2021-1070321;2021;Enero;Martes;26/1/2021;18;Robo (con violencia);;;Almagro;5;-34,600601;-58,423002;;28
LC-2021-1070419;2021;Mayo;Viernes;14/5/2021;17;Robo (con violencia);;;Villa Crespo;15;-34,595043;-58,431221;;29
LC-2021-1070687;2021;Marzo;Jueves;18/3/2021;18;Hurto (sin violencia);;;Nuñez;13;-34,54737;-58,456516;;43
LC-2021-1070736;2021;Mayo;Sábado;29/5/2021;15;Robo (con violencia);;;Villa Urquiza;12;-34,571799;-58,487416;;5
LC-2021-1070933;2021;Febrero;Miércoles;17/2/2021;20;Robo (con violencia);Con uso de moto;Arma cortante;Balvanera;3;-34,613904;-58,39456;;32
LC-2021-1071223;2021;Junio;Jueves;3/6/2021;19;Robo (con violencia);;;Palermo;14;-34,572903;-58,431915;;16
LC-2021-1071244;2021;Marzo;Domingo;7/3/2021;1;Robo (con violencia);;;Flores;7;-34,632174;-58,462845;;40
LC-2021-1071257;2021;Marzo;Viernes;19/3/2021;21;Hurto (sin violencia);;;Almagro;5;-34,609463;-58,426104;;10
LC-2021-1071283;2021;Mayo;Jueves;6/5/2021;7;Robo (con violencia);;;Boedo;5;-34,630528;-58,421962;;29
LC-2021-1071380;2021;Mayo;Viernes;14/5/2021;14;Robo (con violencia);;;Balvanera;3;-34,607742;-58,406125;;40
LC-2021-1071416;2021;Abril;Viernes;30/4/2021;15;Lesiones;Siniestro Vial;;Monserrat;1;-34,610241;-58,391789;1;5
LC-2021-1071452;2021;Enero;Sábado;2/1/2021;19;Robo (con violencia);;;Caballito;6;-34,618649;-58,450301;;6
LC-2021-1071473;2021;Abril;Lunes;5/4/2021;20;Robo (con violencia);;Arma cortante;Recoleta;2;-34,584306;-58,390299;;36
LC-2021-1071587;2021;Mayo;Domingo;2/5/2021;10;Hurto (sin violencia);;;Palermo;14;-34,587995;-58,418664;;42
LC-2021-1071618;2021;Abril;Jueves;22/4/2021;13;Robo (con violencia);;;Barracas;4;-34,639428;-58,375803;;13
LC-2021-1071649;2021;Mayo;Sábado;8/5/2021;0;Hurto (sin violencia);;;Flores;7;-34,635387;-58,45609;;40
LC-2021-1071687;2021;Mayo;Domingo;23/5/2021;12;Robo (con violencia);Con uso de moto;Arma de fuego;Boedo;5;-34,635288;-58,41585;;28
LC-2021-1071809;2021;Enero;Sábado;2/1/2021;7;Robo (con violencia);;;Boedo;5;-34,627411;-58,419958;;29
LC-2021-1071837;2021;Mayo;Miércoles;19/5/2021;16;Lesiones;Siniestro Vial;;Mataderos;9;-34,660875;-58,515512;1;18
LC-2021-1071886;2021;Junio;Martes;8/6/2021;10;Hurto (sin violencia);;;Palermo;14;-34,588736;-58,42;;41
LC-2021-1071942;2021;Junio;Viernes;25/6/2021;15;Robo (con violencia);;;Retiro;1;-34,584899;-58,371484;;33
LC-2021-1072044;2021;Marzo;Martes;30/3/2021;23;Lesiones;Siniestro Vial;;Monserrat;1;-34,616291;-58,377433;1;29
LC-2021-1072066;2021;Febrero;Miércoles;24/2/2021;22;Hurto (sin violencia);;;Barracas;4;-34,62929;-58,37262;;21
LC-2021-1072382;2021;Marzo;Lunes;22/3/2021;6;Robo (con violencia);Con uso de moto;;Caballito;6;-34,617078;-58,437091;;2
LC-2021-1072440;2021;Enero;Domingo;17/1/2021;11;Robo (con violencia);;;Flores;7;-34,628915;-58,470436;;4
LC-2021-1072470;2021;Enero;Martes;12/1/2021;16;Lesiones;Siniestro Vial;;Villa Urquiza;12;-34,564012;-58,490042;1;23
LC-2021-1072558;2021;Mayo;Jueves;20/5/2021;11;Robo (con violencia);;;Balvanera;3;-34,598358;-58,408107;;12
LC-2021-1072669;2021;Junio;Viernes;4/6/2021;13;Lesiones;Siniestro Vial;;Villa Santa Rita;11;-34,618101;-58,476096;1;33
LC-2021-1072709;2021;Febrero;Viernes;26/2/2021;12;Robo (con violencia);Con uso de moto;Arma de fuego;Villa Crespo;15;-34,588919;-58,438732;;15
LC-2021-1073071;2021;Abril;Viernes;23/4/2021;SD;Hurto (sin violencia);;;San Nicolás;1;-34,603684;-58,381559;;20
LC-2021-1073113;2021;Abril;Domingo;18/4/2021;22;Robo (con violencia);;Arma de fuego;Monserrat;1;-34,611229;-58,370598;;11
LC-2021-1073207;2021;Marzo;Domingo;7/3/2021;4;Robo (con violencia);;;Liniers;9;-34,640786;-58,529914;;33
LC-2021-1073261;2021;Mayo;Miércoles;12/5/2021;14;Robo (con violencia);;;San Cristóbal;3;-34,623416;-58,399281;;27
LC-2021-1073375;2021;Marzo;Miércoles;24/3/2021;8;Hurto (sin violencia);;;Chacarita;15;-34,586876;-58,453497;;30
LC-2021-1073376;2021;Febrero;Lunes;22/2/2021;18;Hurto (sin violencia);;;Villa Urquiza;12;-34,561232;-58,483138;;18
LC-2021-1073419;2021;Abril;Lunes;19/4/2021;0;Hurto (sin violencia);;;Villa Crespo;15;-34,603683;-58,435695;;27
LC-2021-1073449;2021;Enero;Jueves;14/1/2021;16;Robo (con violencia);;;Balvanera;3;-34,615468;-58,411949;;39
LC-2021-1073485;2021;Febrero;Martes;23/2/2021;9;Hurto (sin violencia);;;Barracas;4;-34,628909;-58,377613;;4
LC-2021-1073619;2021;Marzo;Domingo;14/3/2021;11;Hurto (sin violencia);;;Floresta;10;-34,621496;-58,487747;;37
LC-2021-1073656;2021;Marzo;Lunes;1/3/2021;15;Hurto (sin violencia);;;Palermo;14;-34,577913;-58,438438;;42
LC-2021-1073817;2021;Marzo;Miércoles;17/3/2021;13;Robo (con violencia);;;Paternal;15;-34,59485;-58,467393;;10
LC-2021-1073922;2021;Abril;Martes;20/4/2021;8;Robo (con violencia);;;Nueva Pompeya;4;-34,642731;-58,430472;;37
LC-2021-1074239;2021;Junio;Jueves;24/6/2021;6;Robo (con violencia);;;San Cristóbal;3;-34,628089;-58,396837;;4
